,Is Inappropriate,Message
1393,0,uhm hmmm
1394,1,looking hookup want put mouth girl v
1395,0,getting ready fishing boat friend
1396,1,naked
1397,0,problem
1398,0,imagine hearing actually say
1399,0,handle
1400,1,nah stay ya as school
1401,1,wanna hook
1402,1,motivation go u
1403,0,welcome
1404,0,go byu undergrad
1405,0,use facebook sometimes ago tho forget password decided use anymore
1406,1,naughty
1407,1,know horny jaja
1408,1,lazy naughty saturday
1409,0,well
1410,0,seeking starting relationship nice young hopefully
1411,0,see two picture profile really know picture
1412,0,time
1413,0,mutual mistake
1414,0,yep saturday going far
1415,0,gonna go school
1416,0,im good kind ready stay home stuff making due surviving
1417,0,well looking guy whose initial goal little different
1418,0,ok problem
1419,1,fat
1420,0,whats
1421,0,gonna wait little longer fish start biting
1422,1,wuss
1423,1,lick lol
1424,1,let squeeze booty 17th date
1425,0,kind
1426,0,look familiar
1427,1,would sex
1428,1,u wanna fuck
1429,1,could sex daily
1430,0,day end got plenty time chat
1431,1,open sex within relationship
1432,1,believe fine trash question mutual well good know
1433,0,report
1434,1,oh really kissing
1435,1,want learn lot sex
1436,0,like eat
1437,0,100 serious luck
1438,1,smother kiss lick nd suck
1439,1,boxer
1440,0,little rough
1441,1,oh yeah long end wet point
1442,1,made mistake saving sex marriage minor okay like making touching inappropriate seeing naked something think fun long get far
1443,0,tell know iphone
1444,1,sex
1445,1,disrespectful
1446,0,feel
1447,0,well find attractive lol
1448,1,might short mexican damn kinda tall hahaa
1449,1,well hand butt
1450,1,thought talking kissing
1451,0,even sweeter night
1452,1,bring uke maybe fool around
1453,0,lol bet cute sloth
1454,1,long big spoon
1455,0,fine
1456,0,welcome haha cuteness
1457,1,well want fucking die hope boyfriend end suffering
1458,1,ever try alcohol ever
1459,1,know could hold wall long time
1460,1,kind bad person huh
1461,1,fuck shit u blocked as
1462,1,might help massage neck hot water running migraine today
1463,1,got married would sit face 69
1464,0,honestly tell would thought know picture thought needed
1465,1,well find owe kiss p
1466,0,break heart need somebody
1467,0,digging goin
1468,1,look assumed joke joked back never said entitled cuddle never pushed either fuck wrong enjoying conversation
1469,0,sound like fun
1470,0,playing
1471,1,fucking tired
1472,0,woke lol
1473,1,chupo mi pito
1474,0,right
1475,0,good burger taco sea food
1476,0,another song called voce e gostosa think one bad completely understand
1477,0,u never bf either
1478,0,woke wrong side bed
1479,0,feel great learned horse exist america spaniard arrived
1480,1,question 10 10 quickly show douche bag
1481,0,like smile
1482,1,like cuddling
1483,1,mormon tho looking bar mormon want discrete premarital sex
1484,0,sorry working decent amount time lately
1485,0,ok go
1486,0,dead
1487,0,u tryna go
1488,0,really
1489,0,lol mine uncle
1490,0,though canada
1491,0,cute smile
1492,0,saying
1493,0,nm
1494,0,você fala muito bemm
1495,0,eye
1496,1,making horny
1497,1,yes everyone else married already people make mistake gospel best asking hook low best thats call honest
1498,1,sorry someone fucked enough play
1499,1,obvi hate mem
1500,1,ok met person stuff see rude person
1501,1,fuck
1502,0,great
1503,0,yes
1504,0,suddenly list interest
1505,0,alegra
1506,0,sister
1507,0,yes
1508,0,boyfriend
1509,0,tried really hard thank
1510,0,understand
1511,1,get handjobs
1512,0,yes
1513,1,fuck
1514,1,playing
1515,0,gif xynhasfzsbrfwgwzao gif mutual support gifs please update newest version mutual http media1 giphy com medium xynhasfzsbrfwgwzao 200w gif cid cecbee374a4bd220fbae296a53973a68f078bd77802485f0 rid 200w gif
1516,1,psycho
1517,0,family
1518,1,like hickies
1519,0,whatever okay thats ask cause want try something okay
1520,1,point making little un comfy know would ask talked getting physical really
1521,1,going slide hand night short take
1522,0,yup quarantine u lockdown
1523,0,hurt
1524,1,know dating app member church jesus christ latter day saint right believe sex marriage
1525,0,anyway sorry goodnight
1526,0,girl
1527,1,even cozier someone else bed
1528,0,need shaustia life
1529,0,know screenshots lot
1530,0,nice
1531,0,comfortable insinuating transgender people thailand way used term freakishly beautiful wrong upsetting want find attractive
1532,0,said single little boy
1533,0,uhmmm
1534,0,well right scare away best luck
1535,1,using peach good lord gave ya haha
1536,0,sorry typo error meant cause
1537,1,boner real lol easy fir girl feel ok
1538,0,may implying sir
1539,1,bitch u crazy
1540,0,hey quarantine treating lol
1541,0,well
1542,0,basic gospel
1543,1,tell idea exchange photo
1544,1,fuck instead
1545,0,think
1546,1,horny af wby
1547,0,supposed head mid may definitely need food suggestion haha
1548,0,surprise ya
1549,1,sometimes one need good make ya know agree disagree
1550,0,gif sp9n1yfunypeg gif mutual support gifs please update newest version mutual http media2 giphy com medium sp9n1yfunypeg 200w gif cid cecbee37b030d17bc25d5ab03938e8028f424bf28dcb2632 rid 200w gif
1551,1,oh worry learned love haha yes actually love neck kiss
1552,1,weakness understandable looking nude asking sex even met person sound like fighting weakness grow church grew living life different life live fight urge weakness daily
1553,1,know want
1554,1,hypocrite
1555,0,sorry
1556,0,judging people something
1557,1,virgin
1558,1,kinda wish laying next right
1559,1,oh sure p lot kissing n stuff
1560,0,okay understand try get right babe
1561,1,would ever cuddled without clothes
1562,0,lol come
1563,0,seen
1564,1,ur kink
1565,1,favorite physical touch
1566,0,family
1567,0,big really lds bishop get big kick outta call assistant
1568,0,many fake
1569,0,brought
1570,0,family friend best love stuff like going camping hiking fishing playing game watching movie inside also love painting singing
1571,1,damn rough
1572,1,talk micro penis making horny
1573,0,like 2 year
1574,1,butt bug
1575,1,wanna kiss
1576,0,lol okay point originality
1577,1,wanna make
1578,0,u cited source
1579,0,chillin
1580,0,ok
1581,1,think woman get horny men
1582,1,idfk people dictator
1583,0,good
1584,0,look good true
1585,1,fabulous leaving hell job lol
1586,0,still
1587,0,haha yup true sorry fell asleep last night
1588,0,might need show well would like stay temple worthy
1589,0,fun want know
1590,0,lol okay good girl good luck bye
1591,0,family
1592,0,well think see think done wish best
1593,0,eating running around
1594,1,went big island hawaii pretty awesome wanna see 3 bet cute kid yeah totally want guy condom ask
1595,1,hahahahaha consider naughty tho
1596,0,see even went full time mission know basic gospel principle teach
1597,1,usually give fb unless friend someone real life seem creepy like going spam dick pic
1598,1,love cuddle
1599,1,think christian saying shit
1600,0,cant decide nicest girl naughty list naughtiest girl nice list
1601,0,need judge communication thing say made clear make effort anyone judging
1602,1,ya man youre kinda fucking creepy
1603,1,fair warning babe kind trouble p
1604,0,gif l0k4l4wgiwbvrraya gif mutual support gifs please update newest version mutual http media3 giphy com medium l0k4l4wgiwbvrraya 200w gif cid cecbee37be28b8efa0edb5173c24fac1adc271384052f47d rid 200w gif
1605,0,city country spring autumn christmas independence day rain sunshine bmw audi
1606,0,think phrase believe woman b
1607,0,haha funny say depends grandmother uhh today pricked lot finger get vitals sign course
1608,0,like fun
1609,0,haha noticed
1610,1,hello hello babe fire peach
1611,0,know come back
1612,0,aye playin
1613,1,sexual stuff hahahaha
1614,0,temple worthy
1615,1,would cool touched butt
1616,0,type company work american company
1617,1,making sex joke expense
1618,0,hello
1619,1,im gonna say n word
1620,0,love pretty much anything love fun adventure like outdoors country dancing fishing camping rock climbing shooting martial art watching movie cuddling singing heart car anywhere love gospel love life love god really outgoing confident love people
1621,0,get reported lol
1622,0,letras é lyric
1623,1,sooo would wanna makeout sometime
1624,0,gif xt4uqmy4ta0eg1t7w0 gif mutual support gifs please update newest version mutual http media1 giphy com medium xt4uqmy4ta0eg1t7w0 200w gif cid cecbee37fcac912862ec19fde66c09c5927fea0afd360544 rid 200w gif
1625,0,ok ask away
1626,0,respect
1627,1,anything want puzzle play dress blow bubble rock finding picnic paint make jewelry board game bake ride bike sex tea party go fish dirt digging jump rop
1628,0,cringing
1629,0,hurt
1630,0,oh see
1631,0,well ask slow chatting
1632,0,two undergrad almost two master starter phd finish point home sensitive sexual addiction due event past believe profession change also think people need equally balanced choose date see u equally matched regardless true biased perspective would hold back sorry
1633,1,half hard big
1634,0,oh okay
1635,1,wtf
1636,0,ok wish well seem great glad trusting
1637,0,fav verse
1638,1,thing wrote offering walk experience wanted trying show would belittle treat like fool like yoir ex virgin
1639,0,ok ok believe
1640,1,dare never sex see
1641,1,mess came home month ago mission done talking racist white people like
1642,1,like sex hahah
1643,1,oh fuck
1644,0,say bio
1645,0,already know
1646,0,provo u
1647,0,oh nice work ok top place think rn kuzzos chicken waffle fav jetz pizza coney island eye
1648,0,san tan valley
1649,1,way hold bitchy comment said feminist chick took phone
1650,1,sooooo childish
1651,0,oh see
1652,0,goodnight
1653,1,tryna ncmo
1654,1,like would love rub tight pussy thats naughty
1655,0,oh okay curious
1656,0,supposed think poorly
1657,0,work
1658,1,enjoy physical side tho
1659,0,say
1660,0,hey
1661,0,u still
1662,1,cuddling kissing sex
1663,1,tall gotta ride
1664,0,ok good one old
1665,0,haha know right
1666,0,u still dm
1667,1,said racist
1668,1,probably wander explore lower back inner thigh lip well
1669,0,oh man haha want go temple one day maybe
1670,0,answer first
1671,1,damn one chance one big salem executive
1672,0,would
1673,1,okay talking lmao
1674,0,playing video game brother maybe watching movie friend facetime haha
1675,1,get hit retard train growing lol god help psycho
1676,0,leave church
1677,1,okay get
1678,0,today
1679,0,sound nice
1680,1,rude ruined chance get often respond
1681,1,know first guy met like foot information 40d bra fat as size 10 5 foot arched
1682,0,get
1683,1,dirtiest thing done guy
1684,1,know say go black never go back ready never go back
1685,0,got ya
1686,1,want touching foot ur kissing lol
1687,0,lot
1688,0,yep long one
1689,0,record culturally depends canada compared state
1690,0,yet thank goodness
1691,1,need tongue
1692,0,ok awesome
1693,0,http cesletter org ce letter pdf
1694,1,wanna nap
1695,1,haha really asking cuddle without clothes
1696,0,make sensitive make le jerk
1697,0,cute
1698,0,haha still bed
1699,1,guy drink
1700,0,like
1701,0,day
1702,1,idk text start shit say nice say everyone else say tbh idk believe
1703,0,scared
1704,0,see sorry want get person first
1705,1,sabes gusta tu última foto en tu perfil la sin mangas imagino que estamos junto en una cama mientras yo te acaricio tu pecho tu estás acariciando see
1706,1,would take top lick tit suck hard
1707,1,farthest gone
1708,0,great
1709,0,understand
1710,1,going show titty
1711,1,small dick u help
1712,0,everything fake news
1713,1,long ok sex get ticket go
1714,0,ready raising rugrats together
1715,1,calling dick cause political opinion
1716,0,ask different one
1717,0,available may 26
1718,0,hi
1719,1,oh trust get sex important actually high requirement list
1720,0,son life uk mom live state tho mom live alabama originally canada edmonton late dad canada edmonton
1721,1,creep
1722,1,yeah cuddle mood
1723,1,nah honey wanna get date raped
1724,1,except way know fat picture always truth
1725,0,would like go sometime
1726,1,maybe sex
1727,0,hahah quarantine wildness sound like adventure horror movie lol
1728,0,haha okay
1729,0,thanks hun
1730,1,yes wear underwear
1731,0,expensive tho speak
1732,1,well hard hold dick hand side guy
1733,0,snapchat
1734,1,getting turned
1735,1,long give 173rd date handjob good
1736,0,unmatched yet expect
1737,1,disgusting bro
1738,0,ohhh
1739,1,saying trash
1740,0,time
1741,0,yeah get used try honest kind given lol
1742,1,kiss
1743,1,got booty
1744,1,naughty
1745,1,well cute butt least
1746,0,oh laying bed wbu
1747,0,even met person
1748,0,ever guy prefers
1749,0,woof
1750,0,gross
1751,0,movie night
1752,0,mouth
1753,0,haha
1754,0,customer
1755,0,like explore outdoors
1756,1,made touching inappropriate seeing naked cup tea
1757,0,haha also good know
1758,0,even know get verified bc obsessed
1759,1,one brought like looking lmao nvm
1760,1,ur nude lol
1761,0,mean
1762,1,hahaha yeah cheating wife lol
1763,1,hell would want someone say abusive broke
1764,0,said
1765,1,come daddy
1766,0,good
1767,0,hmmmmm
1768,0,would go crazy dont
1769,1,want talk sex anymore style meeting someone take care hope good day rest
1770,0,delivered baby mountain west
1771,0,lol
1772,1,good luck physical affection big part relationship sexual important almost everyone
1773,0,want show money way
1774,0,lol niceee could see everybody need ya right
1775,1,put icy hot upper inner thigh rubbed thing brought knee
1776,0,hope good day
1777,0,plan today
1778,1,love cuddling see
1779,0,im trying haha
1780,0,heard twice
1781,1,like said really wait see yeah sucked as give week two think lot better
1782,0,straightforward honest also want
1783,0,exactly
1784,1,okay kinda hot
1785,1,oh damn sorry okay
1786,0,joined
1787,0,judging u
1788,0,swipe
1789,1,okk soo last great great make
1790,0,estoy viviendo acá hasta mayo
1791,0,intellectually dishonesty hunny
1792,0,u sensitive
1793,1,want crazy sex
1794,0,cell number use hangout
1795,0,anything bad know bank
1796,1,perfect need learn give oral sex
1797,1,anna jerk
1798,1,sure want 15 minute make meet somewhere super public
1799,1,well care pant lol
1800,1,said sas as
1801,0,nobody deserve disrespected
1802,0,bruh
1803,1,perú explain making mean please
1804,1,grab face kiss running finger hair eye
1805,1,get started
1806,0,version vibe check guess sense humor
1807,0,use instagram message
1808,1,eh guess go random sex stranger till get
1809,0,trying get someone take fishing literally 11 year
1810,1,think trying take advantage every girl thats low even people could stoop low definitely one thought something special like damn seemed like one lifetime kind girl make question judgment
1811,0,unmatched yet
1812,0,literally came dm rude
1813,1,oh want make
1814,0,use facebook lol
1815,1,dude sleep history class fact comparing nazi absolute insanity
1816,1,anything make insecure
1817,1,understand another question concern sexy picture would require nude send nude regardless compensation
1818,1,like talking sex
1819,0,live
1820,1,help pitch tent next picnic
1821,1,got discharged army super wanting female companionship think bitch heat eye pardon crudeness
1822,0,boo
1823,0,good figure
1824,0,sound great
1825,1,lol looking hook
1826,0,ohhhh wow idea
1827,0,yes yes yes give back scratch
1828,1,water bill getting really high mind come shower
1829,0,hi
1830,0,much chilling wbu
1831,0,way yeah love good place
1832,1,shallow throating point
1833,1,ahhh yes many damn fake profile really irritating
1834,1,mean
1835,0,work
1836,0,kissed first date weird foot
1837,0,chat app
1838,1,want
1839,0,gonna look tell wrong
1840,0,woohoo
1841,0,sadly quarantined roommate went evening walk kinda haha
1842,0,mean literally joke gotta get something accomplished
1843,1,also topping cake trump supporter one racist white men world
1844,0,kind question something cute comfy
1845,0,actually one favorite food lol
1846,0,hi weekend
1847,0,one brought
1848,1,ooh holding cock
1849,1,eat dinner
1850,0,blue red
1851,1,bisexual
1852,0,cool
1853,1,swear serving mission u bitch as mother fucker
1854,0,ppl
1855,0,pretty cute
1856,0,aint
1857,0,curve body
1858,0,never
1859,0,like friend mind
1860,1,u sit face ya want lol
1861,1,hella
1862,1,yet want hold one peed
1863,1,asked beginning ok physical talk
1864,0,oh think hahah
1865,0,good hear good haha
1866,0,sorry spell name
1867,0,ouch feeling
1868,1,ew hate everything conversation two message already gross
1869,1,wanna come like home alone apartment
1870,0,tell state
1871,1,sorry way sex obsessed asked single question getting know good luck search
1872,0,looking
1873,0,dont come find
1874,0,work hairdresser
1875,0,going come dc knoxville
1876,1,said hangout say date like fee tf
1877,0,swear sometimes crazy get
1878,1,open polyamory implying
1879,0,died like
1880,1,awkward cuddle think work
1881,0,meaning know english wrong
1882,1,mean hot af
1883,0,crime ask husband
1884,1,well wondering wanna hook
1885,1,eff dude
1886,1,contraception anti christian
1887,1,hmm like spanking see
1888,0,work pharmacy technician intermountain healthcare walmart pharmacy
1889,0,think ur rudest person
1890,1,marry someone prepared sex
1891,0,u catfish
1892,0,hello
1893,0,si
1894,0,hey hon today
1895,1,cute kissable
1896,1,u callin sexy
1897,1,butthole
1898,1,therefore white supremacist
1899,1,particularly hook
1900,0,yeppp
1901,0,hard
1902,0,sorry
1903,1,haha lmao okay
1904,1,as kindly go fuck
1905,0,alright
1906,0,well snapchat boo qualification
1907,1,looking hookup
1908,0,gif 13yjln8dw18nea gif mutual support gifs please update newest version mutual http media1 giphy com medium 13yjln8dw18nea 200w gif cid cecbee377a775207c18b2c285146783c26eb7a7fce0c984a rid 200w gif
1909,1,hope want sausage without batter otherwise going painful deliver
1910,0,thang
1911,0,looking
1912,0,even pay attention
1913,0,line
1914,0,get
1915,1,kinda weird date someone get married never ever cuddle hug kiss even hold hand
1916,0,oh
1917,0,well say cute
1918,1,que piensas sobre tener cosas íntimas
1919,1,want lollipop suck desert
1920,1,haha curious kink curious sexuality lot thing
1921,0,actually
1922,1,kiss know
1923,0,oh okay cool
1924,1,whatchu mean sassy af play like sweetest thing side mississippi
1925,0,okay
1926,1,nice enjoy fingering never eaten girl would like try
1927,0,gif 1ymlvdpqrvmlexrpfh gif mutual support gifs please update newest version mutual http media2 giphy com medium 1ymlvdpqrvmlexrpfh 200w gif cid cecbee3773581472b065fe7eaace79d6f7d4764d5359cec5 rid 200w gif
1928,0,nothing really went much anywhere first day
1929,1,focused skin color racist stand everyone people skin color killed every day life matter join stand everyone understand
1930,0,maybe consider provide dna sample resume everything else listed profile
1931,1,heck see woman sexual object well respect much become member heram hope feel awful sick made feel leaving alone think action
1932,1,morning wood
1933,1,like ncmos
1934,0,oh figured
1935,0,ohhh
1936,0,could fix
1937,0,hello
1938,1,thomas tf expect reply started rude throwing shade
1939,0,copping already
1940,0,oh yeah hygiene big one
1941,0,goodbye
1942,0,encantó cuidar adultos mayores
1943,1,wanna kiss 2 hour
1944,0,flying thursday
1945,0,oh great
1946,0,talk tell
1947,1,huh disappointment
1948,0,wow lol platform
1949,0,okay thanks bye good luck search
1950,0,hey babe
1951,1,call see nerd
1952,1,pick right arm kiss
1953,0,hey
1954,1,lip biting
1955,0,woman
1956,0,yeah
1957,1,said one getting peed
1958,1,lmao delusional thinking ok talk someone like
1959,0,well maybe one place
1960,1,oh good cuz maybe could humpback place
1961,0,submissive
1962,0,tú
1963,1,two three nighter
1964,1,okay perfect expect cuddle clothes
1965,1,jk cuddle maybe smooch
1966,0,omg
1967,1,damn almost 5
1968,1,miss kissing people cuz quarantine
1969,0,single married
1970,0,wanting read
1971,0,2021
1972,1,nude pic
1973,0,today
1974,0,digging
1975,1,lmao oh stop
1976,0,buckeye since 2009 lived arizona since like 3rd grade
1977,0,great grandmother maiden name grandfather middle
1978,1,dare make
1979,1,quiero chuparme la polla
1980,1,looking hookup
1981,0,love know see beautiful angel like one day
1982,1,vamo chingar mirando netflix
1983,0,work study
1984,0,plan today
1985,1,good kisser like body touched
1986,0,would say
1987,0,tonight people person also like alone time
1988,0,ooooh empathy open mind eye
1989,0,going accept babe
1990,1,well lying lmao
1991,0,back
1992,0,issue w men
1993,1,nude lol
1994,1,got big tit
1995,1,hahaha yes daddy
1996,1,wanna make tonight
1997,0,lonely starved affection need tlc sunshine
1998,0,might imagine stuff
1999,0,pretty well thank
2000,0,free weight planning running around evening live provo might able see real life
2001,1,haha expecting sex active gospel part
2002,0,bc tryin use
2003,1,touching
2004,1,bed wearing many clothes wanna join
2005,0,suspicious
2006,1,report eye eye
2007,1,kissing lip back
2008,1,choker thing choke
2009,1,wish easy sex get visa plane ticket big america
2010,0,really well
2011,1,believe taking care crush send money
2012,1,kinda want baby see breaking ice
2013,1,bull crap cute af
2014,1,virgin
2015,1,masturbate daily give idea often would need kind attention problem initiating like sexual control
2016,0,problem
2017,0,hey foodie food live without
2018,0,look innocently
2019,1,hi as face
2020,0,oh
2021,0,adiós chica rara
2022,1,sure let admire afar touching classy gal
2023,0,well
2024,1,worst
2025,0,bout ever married
2026,0,think told everything
2027,1,snack whole damn meal
2028,0,hot
2029,0,full name
2030,0,technically married 9 year
2031,1,lmao
2032,0,woah woah
2033,0,great
2034,0,intimate
2035,0,bro u came
2036,0,oi brigado gatihna
2037,1,cover play time nap time diaper check change bottle feeding spanking
2038,0,must bc sas
2039,0,swell
2040,0,tell uncomfortable even think batter
2041,1,luck cuddle wait
2042,0,hahah wait last name though bc swear seen
2043,0,happened guy went date
2044,1,talking sex make horny im rock
2045,0,actually quite happy
2046,0,hello
2047,1,think goodie good girl best naughty
2048,1,done pic sexy stuff even cared person talked every day conversation
2049,1,much hand allowed
2050,0,laying around
2051,0,sadly yes
2052,1,kissing language love lovely conversation
2053,1,would make fun make sense nothing wrong virgin missing something
2054,1,view makeouts ncmos
2055,0,hey
2056,0,fun
2057,1,donde ba llebar perder mami
2058,0,pretty good sorry took nap little sacrament meeting spiritual sweet
2059,1,wish hotel room right
2060,1,u busted tf happened
2061,1,would really wanna drink quench longing thirst
2062,1,diminutive penile stature going issue
2063,0,bet
2064,0,u sassy
2065,1,bitch
2066,0,good
2067,1,sorry fat lady
2068,0,sigo trabajando
2069,0,fw snap rn
2070,0,going good
2071,1,look like death without makeup skull skull skull skull skull
2072,1,found big cock
2073,0,even know 375 ppl
2074,1,intense making intense dirty talking
2075,0,good
2076,1,long supposedly virgin
2077,1,oh baby sexual kind
2078,1,idk stroking
2079,1,take care go beg god forgiveness saying f word
2080,1,look number twice many unarmed white men killed every year black men white life matter
2081,0,hahaha
2082,0,tell people amish love zipper damn much
2083,1,oh well snowflake
2084,0,lol sometimes tone hard translate text
2085,0,want relationship someone met trying get know mean ask
2086,1,coming want kiss tongue
2087,1,would love grind well makingout
2088,1,go look jerk
2089,1,word sex offend
2090,1,actually getting know person assuming want talk dirty
2091,0,ubicas
2092,1,win get makeout session
2093,1,thanks mommy gave hard
2094,1,lover besties
2095,0,reading
2096,1,told thats case want andie beautiful woman ever laid eye upon want put baby right away
2097,0,idk u plan
2098,0,ya thing
2099,0,well answer lol
2100,1,assuming dp different meaning
2101,1,sorry whore
2102,0,okey
2103,1,naughty
2104,0,u gonna hypocritical
2105,0,hahah
2106,0,one first guy talked want meaningful relationship
2107,0,love
2108,1,fine want ncmo
2109,1,bf
2110,0,tell life style
2111,0,yeah might go back internship fall go back winter till spring next year
2112,0,snap
2113,0,service mission
2114,0,american sacramento
2115,0,near would quarantine chill rn
2116,0,bueno fue costa de muchos sacrificios
2117,0,play course lol
2118,0,u active member
2119,0,sprinkling spirit contention dm night
2120,0,one million working home day
2121,0,copied every bit
2122,0,jawline eye eye eye
2123,1,sorry weird creepy one question like nipple kissed
2124,1,said black people life matter disagree movement nuclear family pro abortion insighting violence issue looked evidence issue justified action police without police would anarchy still make racist
2125,0,hey
2126,0,inner thigh
2127,0,pretty good
2128,1,well love make
2129,0,successfully life ruined multiple time
2130,0,u downloaded app convos everyone
2131,1,fuck
2132,1,hmmmmm well kiss
2133,0,pretty cool haha chill
2134,1,wonderful hey late right horny want talk talk later
2135,1,feel like would enjoy giving oral never
2136,1,virgin
2137,0,expect
2138,1,find excitement watching squirm shower
2139,1,happy bday hottie
2140,0,take please end agony
2141,0,know meeting self wanna friend
2142,1,come cuddle instead
2143,1,like physical
2144,0,california
2145,1,lol would snuggling
2146,0,r
2147,0,jerk
2148,0,aye gone u might explain bit
2149,0,question given idea lol
2150,1,haha love neck kiss
2151,1,wondering could suck toe
2152,1,fat dang
2153,1,yeah hah know bad give good back booty rub
2154,1,want jerk alone though sexy talk look
2155,0,poor characteristic
2156,0,temple worthy
2157,1,absolute creepiest thing could possibly say response
2158,1,nude
2159,0,listen heaven either
2160,1,really pretty btw great as like eye
2161,0,really good mission president
2162,0,like seriously emphasize enough
2163,1,feel free grind want
2164,1,send money come see
2165,0,ok good
2166,1,oh bring alcohol haha
2167,1,bye typical dating site b sure time waster window shopper
2168,1,animal sack listing quality lol
2169,1,sex left
2170,0,want talk money bank account type thing tell job dallas thing like maybe phoenix live
2171,1,butt naked
2172,0,game
2173,0,miss
2174,1,clearly mental health issue clear like much verbal abuse others sad
2175,1,btw bad experience app let know looking hook
2176,0,like
2177,0,working
2178,0,tryna say perfect
2179,0,boy
2180,1,sorry pissing
2181,0,said supposed sweet
2182,0,feel like going crazy bc figure recognize
2183,0,haha true
2184,1,like boob
2185,0,ok get left behind
2186,1,would eaten alive
2187,1,great kisser
2188,1,well boy shaped like literal square huge head big body yellow teeth huge nose ngl honestly look like man boob last pic
2189,1,concerning brought assless chap rememeber
2190,0,hablas español
2191,1,haha come make rn
2192,0,church since 3
2193,1,nice wanna come study mine many time heard one lmao
2194,1,try tinder dude
2195,1,huge fan hickies
2196,0,okinawans east asian ethnic group mom miyako island lot look like mixed asian white dad okinawa island ancestor china family tree book founder 1000 year old
2197,0,good
2198,1,jack mormon
2199,0,well experience bullying compassionate go world meeting people like deep understanding community go world nothing special nothing make stand
2200,0,go haha
2201,1,even talk trash face
2202,0,colorado denver north
2203,0,really none business
2204,0,get faster baby
2205,0,think ur liberal
2206,1,tongue incredible together tongue tongue tongue tongue tongue tongue tongue tongue
2207,1,yay cuddle sure
2208,1,turn haha
2209,0,scared
2210,1,trash
2211,0,active member church
2212,1,feel plural marriage
2213,0,speak speak
2214,1,poopy shit dood doo
2215,0,text phone
2216,0,would ok chatting
2217,1,lollll thats naughty healthy
2218,0,sooo exactly okay
2219,0,good talk
2220,1,rude
2221,1,killed woman
2222,0,hated feeling guilty feel better feel guilty
2223,0,hydrated moment
2224,1,lie wanna thing u ever done b4 u ever black man b4
2225,1,hmm silly thought bitch name
2226,1,love sex
2227,0,well im girl northern california came byui education really love really want go back home love swimming spending time friend watching movie time homework
2228,0,love burger
2229,1,got slut see long one last
2230,1,making want stroke cock rn baby girl
2231,0,like dang dude
2232,0,video call
2233,0,playing explain
2234,0,interesa e l única app
2235,1,ever sugar mama offer
2236,0,spicy try
2237,0,nothing say
2238,1,sex marriage tough one porn subsidiary coffee tea herbal ok drink green even tho alcohol drug tobacco pay tithing obviously one people handle restriction
2239,1,lol bc sex
2240,1,woman especially lds one think healthy masturbate agree
2241,0,meet boy one first thing asks went mission like one priesthood responsibility matter two kinda implies wanna date girl went mission important view highly
2242,0,moment looking job different way quarantine brazil
2243,0,figured
2244,1,didnt mean pervertet
2245,1,heard pegging
2246,1,oral
2247,0,375 follower
2248,1,either brain busy flicking clit thought reply like think latter
2249,1,tongue mouth
2250,0,claro pero acá casi todos somos de una misma religión se enseña mucho la importancia de la castidad el valor que realmente la mujer etc por eso te irá mal
2251,0,become worth
2252,0,ok un gusto
2253,0,cómo estás
2254,1,willing pay
2255,1,like straddled
2256,0,think really nice sweet
2257,0,surroundings actually lay friend time
2258,1,oh danm u drive 7 hr
2259,1,hate bitch
2260,0,like first profile picture haha
2261,0,dial needed certainly need alone time recharge
2262,0,set weight would something want future haha couple dumbbell ankle weight
2263,1,touching clothes
2264,0,hey covid dating going made progress home gym
2265,1,haha true maybe stroking thinking bout nipple might help tho lol
2266,1,dtf
2267,0,move 4 u
2268,0,live parent
2269,1,mean hook
2270,0,live alone
2271,1,que tienen en pito grande
2272,0,swear mormon site
2273,0,oh like talking imagine talking good idea
2274,0,go
2275,1,spank
2276,1,lmao
2277,0,feel burn
2278,1,make session star tent could cute
2279,0,really small world lot people know okinawa ask lol
2280,1,wanna know else funny fact thought chance
2281,0,studied
2282,1,interested polyamory like follow law chastity dating somebody
2283,1,sit face ya
2284,0,u sensitiveeee
2285,0,yes babe
2286,1,bde
2287,0,uuuuuu
2288,0,jesus said love everyone except liberal
2289,0,please call babe
2290,0,see picture maybe wrong totally joking lol serious
2291,0,good thanks
2292,1,velho babaca
2293,0,u tryna start beef street
2294,0,oh nice please take good care working month
2295,0,show
2296,0,love
2297,0,keep goin long
2298,1,sorry anything affect spiritually even look physically attractive said reason enough forget goal
2299,1,answer question tho comfortable trump rape accusation lie racism inspires
2300,0,okk um farthest gone
2301,0,going back hawaii fall
2302,1,well want keep dress want start taking shirt taking belt kiss slowly go take pant bite lip soon cock pop look saying oh daddy fully take pant
2303,0,nicee ok turn
2304,0,reading material http cesletter org ce letter pdf
2305,1,like cuddle girl
2306,1,really got going like sexually making joke like said hard text
2307,0,right
2308,1,cute butt today
2309,0,wanna
2310,0,snap
2311,0,hell thank god thing getting better still weird though
2312,0,u girl
2313,0,really
2314,0,hour away anything welcome join u two couple solo guy
2315,0,creo que e una ciudad donde jamás volvería
2316,1,feel like assless chap butt stuff implied
2317,0,tomorrow
2318,0,niceeee
2319,0,haha mean
2320,0,hahaha life matter staying home save life
2321,1,touching
2322,0,read find
2323,0,complain
2324,0,sorry profile wrong little busy wit work setting profile new
2325,1,want treated like baby lot way humiliating example asking stinky pulling pant spanking diaper check ok feeling embarrassed make feel little help regress way would use humiliation tool help feel like baby
